,user_rating,review_text,sentiment,review_text_cleaned,tokens,freqdist
847,5,"Haris is an amazing host! He will gladly go out of his way to accommodate you! He will check-in and greet you in person, has immediate  response times and will generally tend to most of your needs.
Goes without saying that the apartments are spotless and newly renovated.
Definitely recommended....hence all the 5-star reviews!!",positive,amazing host gladly go way accommodate greet person immediate response time generally tend need go without saying spotless newly definitely hence,"['amazing', 'host', 'gladly', 'go', 'way', 'accommodate', 'greet', 'person', 'immediate', 'response', 'time', 'generally', 'tend', 'need', 'go', 'without', 'saying', 'spotless', 'newly', 'definitely', 'hence']",<FreqDist with 20 samples and 21 outcomes>
856,4,"Nice big open area with a couple of art venues. There are very few (if any) public facilities available, like toilets. Also, there is no proper walkway for pedestrians to use to reach the park but too many too many cars which isn't very safe especially for children.",positive,nice big open area couple art public available like also proper walkway use reach park many many safe especially,"['nice', 'big', 'open', 'area', 'couple', 'art', 'public', 'available', 'like', 'also', 'proper', 'walkway', 'use', 'reach', 'park', 'many', 'many', 'safe', 'especially']",<FreqDist with 18 samples and 19 outcomes>
859,1,"Overpriced products
Clay products at zero cost and god prices
All at the altar of art!!",negative,clay zero cost god altar art,"['clay', 'zero', 'cost', 'god', 'altar', 'art']",<FreqDist with 6 samples and 6 outcomes>
861,1,Unacceptable!,negative,unacceptable,['unacceptable'],<FreqDist with 1 samples and 1 outcomes>
862,1,The worst hotel experience I have ever had. The room wreaked of cigarette smoke and they would not let us move or refund us,negative,worst hotel experience ever room cigarette smoke would not let u move refund u,"['worst', 'hotel', 'experience', 'ever', 'room', 'cigarette', 'smoke', 'would', 'not', 'let', 'u', 'move', 'refund', 'u']",<FreqDist with 13 samples and 14 outcomes>
863,4,"Arrived late night, staff was waiting for us. The apartment was a few blocks away from the hotel reception, in fact google maps was taking us to the apartment and not to reception. Luckily the clerk caught us before we walked by. Elevator in the apartment building couldn’t handle both of us and our luggage. Luckily it was set to return to the bottom floor if it had a problem. We walked up the three flights of stairs but sent our luggage in the elevator. The room was comfortable and clean with good AC and a great shower with plenty of hot water. There was a small kitchen with cutlery and dishes. We walked to the M3 in the morning to head to the airport.",positive,late night staff waiting u apartment away hotel reception fact taking u apartment not reception luckily clerk caught u elevator apartment building handle u luggage luckily set return bottom floor problem three sent luggage elevator room comfortable clean good great shower plenty hot water small kitchen cutlery morning head airport,"['late', 'night', 'staff', 'waiting', 'u', 'apartment', 'away', 'hotel', 'reception', 'fact', 'taking', 'u', 'apartment', 'not', 'reception', 'luckily', 'clerk', 'caught', 'u', 'elevator', 'apartment', 'building', 'handle', 'u', 'luggage', 'luckily', 'set', 'return', 'bottom', 'floor', 'problem', 'three', 'sent', 'luggage', 'elevator', 'room', 'comfortable', 'clean', 'good', 'great', 'shower', 'plenty', 'hot', 'water', 'small', 'kitchen', 'cutlery', 'morning', 'head', 'airport']",<FreqDist with 41 samples and 50 outcomes>
872,1,"I vacationed with my family in this ""hotel"", last year in August. The accommodation itself is very good. However, the reason I gave the lowest rating is that we had a very unpleasant experience with the owner of the ""hotel"". Namely, although I arranged everything directly with the owner, although I called two days before arrival and received an email that the room would be ready at the agreed time, when we arrived (and we were traveling with a 10-month-old baby), we received a short notice that is our room occupied until the next day and that we can spend the night in accommodation in the immediate vicinity!?! We agreed to it because with a baby in Greece in August, we didn't even want to try to find another accommodation. And maybe I wouldn't even write all this if another group of guests didn't have the same problem during our stay there. At the same time, the owner's attitude about the whole situation was that this often happens because it is the season and there is a lot of interest!?! The owner himself did not find it necessary to formally apologize, let alone anything more... During check-out, when the husband went to settle all the expenses, he had another unpleasant contact with the owner, who shouted that we had no right to be angry, that he has the right to do as he wants, that if we don't like it, we never have to come again, and he didn't even say goodbye when he left. And although I would have more to write, I think I have said enough for some future guests. We have been vacationing in Greece for years, I have always arranged accommodation directly with the owners, and this, unfortunately, was our first negative experience....",negative,family hotel last year august accommodation good however reason gave rating unpleasant experience owner hotel namely although everything directly owner although two day arrival received room would ready agreed time traveling baby received short notice room next day spend night accommodation immediate vicinity agreed baby august even want try find another accommodation maybe would even write another group problem stay time owner attitude whole situation often season lot interest owner not find necessary formally apologize let alone anything husband went settle another unpleasant contact owner right angry right like never come even say left although would write think said enough future always accommodation directly unfortunately first negative experience,"['family', 'hotel', 'last', 'year', 'august', 'accommodation', 'good', 'however', 'reason', 'gave', 'rating', 'unpleasant', 'experience', 'owner', 'hotel', 'namely', 'although', 'everything', 'directly', 'owner', 'although', 'two', 'day', 'arrival', 'received', 'room', 'would', 'ready', 'agreed', 'time', 'traveling', 'baby', 'received', 'short', 'notice', 'room', 'next', 'day', 'spend', 'night', 'accommodation', 'immediate', 'vicinity', 'agreed', 'baby', 'august', 'even', 'want', 'try', 'find', 'another', 'accommodation', 'maybe', 'would', 'even', 'write', 'another', 'group', 'problem', 'stay', 'time', 'owner', 'attitude', 'whole', 'situation', 'often', 'season', 'lot', 'interest', 'owner', 'not', 'find', 'necessary', 'formally', 'apologize', 'let', 'alone', 'anything', 'husband', 'went', 'settle', 'another', 'unpleasant', 'contact', 'owner', 'right', 'angry', 'right', 'like', 'never', 'come', 'even', 'say', 'left', 'although', 'would', 'write', 'think', 'said', 'enough', 'future', 'always', 'accommodation', 'directly', 'unfortunately', 'first', 'negative', 'experience']",<FreqDist with 79 samples and 108 outcomes>
876,5,"Good location, beautiful view from the terrace, trouble-free communication with the owner, clean place, recommendable! :)",positive,good location beautiful view terrace communication owner clean place recommendable,"['good', 'location', 'beautiful', 'view', 'terrace', 'communication', 'owner', 'clean', 'place', 'recommendable']",<FreqDist with 10 samples and 10 outcomes>
877,5,"We had a great time, thank you very much for everything!!!",positive,great time thank much everything,"['great', 'time', 'thank', 'much', 'everything']",<FreqDist with 5 samples and 5 outcomes>
878,1,"It was a great, central place to stay, hence why I left a positive review on AirBnB. However, after I checked out, I received a $200 request for a damaged bathroom floor that I did not cause. Wouldn't stay with a dishonest host as a risk of the same thing happening to you.",negative,great central place stay hence left positive review however checked received request bathroom floor not cause would stay dishonest host risk thing happening,"['great', 'central', 'place', 'stay', 'hence', 'left', 'positive', 'review', 'however', 'checked', 'received', 'request', 'bathroom', 'floor', 'not', 'cause', 'would', 'stay', 'dishonest', 'host', 'risk', 'thing', 'happening']",<FreqDist with 22 samples and 23 outcomes>
887,5,"Totally value for money! Cleanliness,Friendly staff, located in the centre of Athens (Metaxourgio) and with private parking (covered) for the guests . Inside has all the necessary stuff such as towels, cotton robe and slippers , soap, shower gel/shampoo and cookies with two bottles of mineral water. I would definitely visit the hotel again! Absolutely recommended for short stay visitors!",positive,totally value money cleanliness friendly staff private parking covered inside necessary stuff cotton robe soap shower two mineral water would definitely visit hotel absolutely short stay,"['totally', 'value', 'money', 'cleanliness', 'friendly', 'staff', 'private', 'parking', 'covered', 'inside', 'necessary', 'stuff', 'cotton', 'robe', 'soap', 'shower', 'two', 'mineral', 'water', 'would', 'definitely', 'visit', 'hotel', 'absolutely', 'short', 'stay']",<FreqDist with 26 samples and 26 outcomes>
888,5,"Kind and discreet. That's why it is always preferred! The rooms could be more in some ""concepts"" . The mirrors are super but in a few rooms they could be more convenient in different places. As for the TV it should have more choices. There are 4 channels , but sometimes work 2 or 3 of them. One solution is the USB stick that client could have but in some rooms they are located exactly in front of the wall and you cannot put it.  Another solution is smart TVs could connect to smart phones. But this is only for mentioning. In general, I keep the discreet point that works super with the staff that has the hotel",positive,kind discreet always preferred could super could convenient different sometimes work one solution stick client could exactly front wall not put another solution smart could connect smart general keep discreet point work super staff hotel,"['kind', 'discreet', 'always', 'preferred', 'could', 'super', 'could', 'convenient', 'different', 'sometimes', 'work', 'one', 'solution', 'stick', 'client', 'could', 'exactly', 'front', 'wall', 'not', 'put', 'another', 'solution', 'smart', 'could', 'connect', 'smart', 'general', 'keep', 'discreet', 'point', 'work', 'super', 'staff', 'hotel']",<FreqDist with 27 samples and 35 outcomes>
889,1,"Racial profiling from a blonde receptionist, we went somewhere else.",negative,racial blonde receptionist went somewhere else,"['racial', 'blonde', 'receptionist', 'went', 'somewhere', 'else']",<FreqDist with 6 samples and 6 outcomes>
893,5,"Awesome location train stations near, facility was well maintained by the friendly owner couple. Recommend visiting grandmas home made greek restaurant amazing food cash only tho. ATM didnt work for my aussie card. Buses are unreliable never show up on time so stick to the metro. Transport pass, dont buy 3days tourist pass just get single airport bus pass x95 x96 depends on your destinstion and when you get to the metro get 5days pass cheaper. From the airport to city buses are cheaper but on the way back to the airport catch metro its double the price but easier no hassle.",positive,awesome location train near facility well friendly owner couple recommend visiting home made restaurant amazing food cash tho didnt work card unreliable never show time stick transport pas dont buy tourist pas get single airport bus pas get get pas airport city way back airport catch double price easier hassle,"['awesome', 'location', 'train', 'near', 'facility', 'well', 'friendly', 'owner', 'couple', 'recommend', 'visiting', 'home', 'made', 'restaurant', 'amazing', 'food', 'cash', 'tho', 'didnt', 'work', 'card', 'unreliable', 'never', 'show', 'time', 'stick', 'transport', 'pas', 'dont', 'buy', 'tourist', 'pas', 'get', 'single', 'airport', 'bus', 'pas', 'get', 'get', 'pas', 'airport', 'city', 'way', 'back', 'airport', 'catch', 'double', 'price', 'easier', 'hassle']",<FreqDist with 43 samples and 50 outcomes>
894,1,This place is a life hazard. Booked it for a couple of nights. On the first night the hotel wall of room no. 12 fell on me. Barely escaped. I do not recommend staying here. Attached images.,negative,place life hazard booked couple night first night hotel wall room fell barely not recommend attached,"['place', 'life', 'hazard', 'booked', 'couple', 'night', 'first', 'night', 'hotel', 'wall', 'room', 'fell', 'barely', 'not', 'recommend', 'attached']",<FreqDist with 15 samples and 16 outcomes>
897,5,Excellent place to stay in a great location. I was very happy with the cleanliness of the room and the friendly stuff. The receptionist also offered me coffee and juice on my arrival for free which I really appreciated!,positive,excellent place stay great location happy cleanliness room friendly stuff receptionist also coffee juice arrival free really,"['excellent', 'place', 'stay', 'great', 'location', 'happy', 'cleanliness', 'room', 'friendly', 'stuff', 'receptionist', 'also', 'coffee', 'juice', 'arrival', 'free', 'really']",<FreqDist with 17 samples and 17 outcomes>
898,5,Great place to stay in the heart of Athens (near metro station).clean place with excellent staff! Highly recommend,positive,great place stay heart near station place excellent staff highly recommend,"['great', 'place', 'stay', 'heart', 'near', 'station', 'place', 'excellent', 'staff', 'highly', 'recommend']",<FreqDist with 10 samples and 11 outcomes>
904,1,"DO NOT stay at this place. Hotel was in very poor condition. The bedsheets had holes in them, the toilet flush didn’t work and you’d have to raise the tank cover to flush. The main lights in the room didn’t work. The air conditioning was rusty and very old, causing a very unusual smell. There were wires coming out of the walls where the outlets were located and the towels were smelly.

The owner of the hotel was very fussy. We stayed 3 times, using the hotel as a hub to move around. Every time, he asked us to pay a €1,50 fee on top of the reservation and tried to charge us for a night we didn’t book. He woke us up at 6am due to his loud noise on the street. Any other place in Athens would be a better pick.",negative,not stay place hotel poor condition toilet flush work raise tank cover flush main room work air rusty old causing unusual smell coming smelly owner hotel fussy stayed time hotel hub move around every time u pay fee top reservation tried charge u night book woke u due loud noise street place would better pick,"['not', 'stay', 'place', 'hotel', 'poor', 'condition', 'toilet', 'flush', 'work', 'raise', 'tank', 'cover', 'flush', 'main', 'room', 'work', 'air', 'rusty', 'old', 'causing', 'unusual', 'smell', 'coming', 'smelly', 'owner', 'hotel', 'fussy', 'stayed', 'time', 'hotel', 'hub', 'move', 'around', 'every', 'time', 'u', 'pay', 'fee', 'top', 'reservation', 'tried', 'charge', 'u', 'night', 'book', 'woke', 'u', 'due', 'loud', 'noise', 'street', 'place', 'would', 'better', 'pick']",<FreqDist with 47 samples and 55 outcomes>
905,1,Absolutely God awful experience. Place reeked of cigarette smoke in the walls and mildew. It was so gross that both I and the friend that I traveled with slept on top of the comforter. We promptly checked out first thing in the morning to find somewhere new to shower and stay.,negative,absolutely god awful experience place cigarette smoke mildew gross friend traveled slept top comforter promptly checked first thing morning find somewhere new shower stay,"['absolutely', 'god', 'awful', 'experience', 'place', 'cigarette', 'smoke', 'mildew', 'gross', 'friend', 'traveled', 'slept', 'top', 'comforter', 'promptly', 'checked', 'first', 'thing', 'morning', 'find', 'somewhere', 'new', 'shower', 'stay']",<FreqDist with 24 samples and 24 outcomes>
911,5,"Clean and above all functional apartment (you can cook and eat on site)
Cleaning products are left available
The owner is available when needed",positive,clean functional apartment cook eat site cleaning left available owner available,"['clean', 'functional', 'apartment', 'cook', 'eat', 'site', 'cleaning', 'left', 'available', 'owner', 'available']",<FreqDist with 10 samples and 11 outcomes>
912,2,"Didn't have good experience with this hotel at all.
Carpet in the room and blankets aren't washed for years. It stinks so bad and there is no air conditioning (it got broken apparently).
Food is fine, I can't say it was bad.",negative,good experience hotel carpet room washed bad air got broken apparently food fine ca say bad,"['good', 'experience', 'hotel', 'carpet', 'room', 'washed', 'bad', 'air', 'got', 'broken', 'apparently', 'food', 'fine', 'ca', 'say', 'bad']",<FreqDist with 15 samples and 16 outcomes>
913,2,"I came during a peak season when all hotels were booked, so I ended up staying at the only available hotel in the area. It lacked amenities like air conditioning and only accepted cash. The night staff were unfriendly and unsmiling, making for an unpleasant experience. However, the morning staff, particularly a cheerful old lady, improved the mood. The hotel itself was outdated. I was relieved my stay was only for one night.

Expect basic accommodations if you book here.",negative,came peak season booked ended available hotel area like air accepted cash night staff unfriendly unsmiling making unpleasant experience however morning staff particularly cheerful old lady mood hotel outdated relieved stay one night expect basic book,"['came', 'peak', 'season', 'booked', 'ended', 'available', 'hotel', 'area', 'like', 'air', 'accepted', 'cash', 'night', 'staff', 'unfriendly', 'unsmiling', 'making', 'unpleasant', 'experience', 'however', 'morning', 'staff', 'particularly', 'cheerful', 'old', 'lady', 'mood', 'hotel', 'outdated', 'relieved', 'stay', 'one', 'night', 'expect', 'basic', 'book']",<FreqDist with 33 samples and 36 outcomes>
914,1,"❗️❗️❗️good to know before staying there❗️❗️❗️
- Cockroach-No airconditioning-Weird stuff -

The neighbourhood was disgusting and seemed dangerous, sadly there were a lot of homeless people. We did not feel safe there.
In the whole hotel the airconditioning was not working, although they have provided a fan, it was dirty. Also the stuff was weird they did not not speak so good english although it was an international hotel… there were cockroach on the floor (in the hall and also in the room...)
The experience there was awful, I definitely do not recommend this place to stay in Athens.",negative,good know stuff disgusting dangerous sadly lot homeless people not feel safe whole hotel not working although provided fan dirty also stuff weird not not speak good although international cockroach floor hall also room experience awful definitely not recommend place stay,"['good', 'know', 'stuff', 'disgusting', 'dangerous', 'sadly', 'lot', 'homeless', 'people', 'not', 'feel', 'safe', 'whole', 'hotel', 'not', 'working', 'although', 'provided', 'fan', 'dirty', 'also', 'stuff', 'weird', 'not', 'not', 'speak', 'good', 'although', 'international', 'cockroach', 'floor', 'hall', 'also', 'room', 'experience', 'awful', 'definitely', 'not', 'recommend', 'place', 'stay']",<FreqDist with 33 samples and 41 outcomes>
915,1,"1.  Someone broke into my room in middle of night and when I woke up ran away
2 no air conditioner they lie that it's only going to be broken while your staying at hotel                      3   don't take credit card they make up story that there computer is broken and credit card machine is broken.                                                   4. Dangerous area.                              V v",negative,someone broke room middle night woke ran away air conditioner lie going broken hotel take credit card make story computer broken credit card machine broken dangerous area v v,"['someone', 'broke', 'room', 'middle', 'night', 'woke', 'ran', 'away', 'air', 'conditioner', 'lie', 'going', 'broken', 'hotel', 'take', 'credit', 'card', 'make', 'story', 'computer', 'broken', 'credit', 'card', 'machine', 'broken', 'dangerous', 'area', 'v', 'v']",<FreqDist with 24 samples and 29 outcomes>
916,1,Someone came into my room almost 440a.m. in the morning was alone thanks God I had my own personal lock so whoever it was wasn't able to open it more than 3 inches and I had an alarm that went off and I woke up what a disgusting creepy way to wake up didn't know what to do so I called my embassy to keep tabs on me to make sure I'm safe and barricaded my room and stayed up the whole night from then didn't know if I should call the front desk cuz thought maybe it's one of the workers of the hotel and wasn't sure if to call police or not then in the morning once I was sure the streets were busy already I left the hotel with all my belongings to go get money from the ATM machine to pay the hotel the worker stopped me why I'm leaving of my luggage and why I can't leave it with him to watch I didn't want to trust him after what happened with this intruder trying to get into my room at night so I declined but he kept on persisting first I thought he was trying to be nice but then he told me he doesn't trust me because I didn't pay it so I told him he could come with me to ATM machine prior to that I didn't want to tell where I'm going cuz I didn't feel comfortable with them knowing I'm going to the time machine if the break in had something to do with them the night before but now I realized that it was actually better because the area is it dangerous area in Athens after that I paid and left and my whole day was basically ruined from going around touring because of the break in since I only slept like two and a half hours just happy to be alive who knows what could have happened if that intruder would have got him before I woke up who knows what he was up to but it's not the only problem this hotel there is no air conditioner the place stinks it doesn't look As good as a pictures and they don't take credit card only cash even though it doesn't say when booking the also a dangerous area,negative,someone came room almost morning alone thanks god personal lock whoever able open alarm went woke disgusting creepy way wake know embassy keep make sure safe room stayed whole night know call front desk thought maybe one hotel sure call police not morning sure street busy already left hotel go get money machine pay hotel worker stopped leaving luggage ca leave watch want trust intruder trying get room night declined kept persisting first thought trying nice told trust pay told could come machine prior want tell going feel comfortable knowing going time machine break something night actually better area dangerous area left whole day basically ruined going around touring break since slept like two half happy alive could intruder would got woke not problem hotel air conditioner place look good take credit card cash even though say booking also dangerous area,"['someone', 'came', 'room', 'almost', 'morning', 'alone', 'thanks', 'god', 'personal', 'lock', 'whoever', 'able', 'open', 'alarm', 'went', 'woke', 'disgusting', 'creepy', 'way', 'wake', 'know', 'embassy', 'keep', 'make', 'sure', 'safe', 'room', 'stayed', 'whole', 'night', 'know', 'call', 'front', 'desk', 'thought', 'maybe', 'one', 'hotel', 'sure', 'call', 'police', 'not', 'morning', 'sure', 'street', 'busy', 'already', 'left', 'hotel', 'go', 'get', 'money', 'machine', 'pay', 'hotel', 'worker', 'stopped', 'leaving', 'luggage', 'ca', 'leave', 'watch', 'want', 'trust', 'intruder', 'trying', 'get', 'room', 'night', 'declined', 'kept', 'persisting', 'first', 'thought', 'trying', 'nice', 'told', 'trust', 'pay', 'told', 'could', 'come', 'machine', 'prior', 'want', 'tell', 'going', 'feel', 'comfortable', 'knowing', 'going', 'time', 'machine', 'break', 'something', 'night', 'actually', 'better', 'area', 'dangerous', 'area', 'left', 'whole', 'day', 'basically', 'ruined', 'going', 'around', 'touring', 'break', 'since', 'slept', 'like', 'two', 'half', 'happy', 'alive', 'could', 'intruder', 'would', 'got', 'woke', 'not', 'problem', 'hotel', 'air', 'conditioner', 'place', 'look', 'good', 'take', 'credit', 'card', 'cash', 'even', 'though', 'say', 'booking', 'also', 'dangerous', 'area']",<FreqDist with 108 samples and 141 outcomes>
920,5,"Everything was fine. Clean rooms, nice staff Rebeca, Aslan and George. They were so caring and attentive to me all the time thank you for making my first trip in Greece great. Prices are cheap, you get free lockers, beds are comfortable, many restrooms in the building, rooftop was also nice because of the view. Location is good near to the center. One important point also is that you can do self check in which is so comfortable after long tiring journey you can enter the building and at least be on the rooftop or outdoor area that was real very important for me. Absolutely satisfied with everything ",positive,everything fine clean nice staff attentive time thank making first trip great cheap get free comfortable many building also nice view location good near center one important point also self check comfortable long tiring journey enter building least outdoor area real important absolutely satisfied everything,"['everything', 'fine', 'clean', 'nice', 'staff', 'attentive', 'time', 'thank', 'making', 'first', 'trip', 'great', 'cheap', 'get', 'free', 'comfortable', 'many', 'building', 'also', 'nice', 'view', 'location', 'good', 'near', 'center', 'one', 'important', 'point', 'also', 'self', 'check', 'comfortable', 'long', 'tiring', 'journey', 'enter', 'building', 'least', 'outdoor', 'area', 'real', 'important', 'absolutely', 'satisfied', 'everything']",<FreqDist with 39 samples and 45 outcomes>
921,1,"The staff at the hotel were very kind and allowed me to stay even though I arrived very late. I called ahead, and everything went smoothly. Honestly, for the price of the room, which was only 16€, you can’t really expect much. However, it’s true that the rooms are too small to fit so many people. There’s barely any space between the beds.
The bathrooms seemed clean, although there weren’t many options, and they didn’t provide any soap. You also have to make your own bed, as sheets and towels aren’t included.

But the absolute worst part, by far, was that I saw ticks.",negative,staff hotel kind stay even though late ahead everything went smoothly honestly price room really expect much however true small fit many people barely space clean although many provide soap also make bed included absolute worst part far saw,"['staff', 'hotel', 'kind', 'stay', 'even', 'though', 'late', 'ahead', 'everything', 'went', 'smoothly', 'honestly', 'price', 'room', 'really', 'expect', 'much', 'however', 'true', 'small', 'fit', 'many', 'people', 'barely', 'space', 'clean', 'although', 'many', 'provide', 'soap', 'also', 'make', 'bed', 'included', 'absolute', 'worst', 'part', 'far', 'saw']",<FreqDist with 38 samples and 39 outcomes>
929,5,"The room is very comfortable with excellent water pressure and plenty of hot water.  It would appear that they have just done a remodeling.
I had to check in late, and the desk was very professional and understanding.  He was also helpful in pointing out places of interest in Athens.  The location is on a quiet street and off the beaten path.  I stayed here 4 nights and will would return.",positive,room comfortable excellent water pressure plenty hot water would appear done check late desk professional understanding also helpful pointing interest location quiet street beaten path stayed night would return,"['room', 'comfortable', 'excellent', 'water', 'pressure', 'plenty', 'hot', 'water', 'would', 'appear', 'done', 'check', 'late', 'desk', 'professional', 'understanding', 'also', 'helpful', 'pointing', 'interest', 'location', 'quiet', 'street', 'beaten', 'path', 'stayed', 'night', 'would', 'return']",<FreqDist with 27 samples and 29 outcomes>
942,4,"A tranquil and comfortable hotel, good-sized rooms, Very fine restaurant  and rooftop bar with nice pool and great views of the city and Parthenon. Quiet,  friendly, and helpful staff. Well sited for all the city's attractions",positive,tranquil comfortable hotel fine restaurant bar nice pool great city quiet friendly helpful staff well city,"['tranquil', 'comfortable', 'hotel', 'fine', 'restaurant', 'bar', 'nice', 'pool', 'great', 'city', 'quiet', 'friendly', 'helpful', 'staff', 'well', 'city']",<FreqDist with 15 samples and 16 outcomes>
944,1,"There were bedbucks, a lot!!! I had more than 70 bites, after this I tried to talk with the owner and he didn’t answer me and don’t want to talk about it, very bad treatment!",negative,lot tried talk owner answer want talk bad treatment,"['lot', 'tried', 'talk', 'owner', 'answer', 'want', 'talk', 'bad', 'treatment']",<FreqDist with 8 samples and 9 outcomes>
948,5,"Great location right next to Viktoria station, with quick access to centre of town. The room was nice and big, clean and just what we needed for a few nights in Athens. Thank you to the host for being hospitable and welcoming.",positive,great location right next station quick access town room nice big clean night thank host hospitable welcoming,"['great', 'location', 'right', 'next', 'station', 'quick', 'access', 'town', 'room', 'nice', 'big', 'clean', 'night', 'thank', 'host', 'hospitable', 'welcoming']",<FreqDist with 17 samples and 17 outcomes>
952,4,"This Hostel is nice and cheap. Most important: Beds, toilets and rooms are very clean. They pay much attention to that. Common space is basic but you can socialize if you want. Staff is helpful too. Kitchen is missing many things. As about the location I really like it. You can get cheap food and drinks around. Also the metro station is less than a minute away.
I would definitely come back for all the reasons above.",positive,hostel nice cheap important clean pay much attention common space basic socialize want staff helpful kitchen missing many location really like get cheap food around also station less minute away would definitely come back,"['hostel', 'nice', 'cheap', 'important', 'clean', 'pay', 'much', 'attention', 'common', 'space', 'basic', 'socialize', 'want', 'staff', 'helpful', 'kitchen', 'missing', 'many', 'location', 'really', 'like', 'get', 'cheap', 'food', 'around', 'also', 'station', 'less', 'minute', 'away', 'would', 'definitely', 'come', 'back']",<FreqDist with 33 samples and 34 outcomes>
953,5,"I don’t think I could have asked for a better experience especially considering the price. The staff are incredible, I felt safe, met the loveliest people and made memories I’ll never forget. The rooms are simple and clean. There’s a communal space downstairs where I worked when needed (and the wifi works perfectly). I walked to Syntagma and Plaka every day with no trouble, while staying vigilant as a woman traveling alone. This is a student area and it’s nice to see them hanging out at cafes and bars close by. Zorbas Hostel has a special place in my heart.",positive,think could better experience especially considering price staff incredible felt safe met people made never forget simple clean communal space downstairs worked work perfectly syntagma every day trouble vigilant woman traveling alone student area nice see hanging close hostel special place heart,"['think', 'could', 'better', 'experience', 'especially', 'considering', 'price', 'staff', 'incredible', 'felt', 'safe', 'met', 'people', 'made', 'never', 'forget', 'simple', 'clean', 'communal', 'space', 'downstairs', 'worked', 'work', 'perfectly', 'syntagma', 'every', 'day', 'trouble', 'vigilant', 'woman', 'traveling', 'alone', 'student', 'area', 'nice', 'see', 'hanging', 'close', 'hostel', 'special', 'place', 'heart']",<FreqDist with 42 samples and 42 outcomes>
956,5,"Great reception desk team, pretty clean place and close to Victoria station. Definitely recommend if you are looking for an affordable hostel in downtown Athens. Just be wary that the area is somewhat considered unsafe, so keeping an eye to your belongings while around isn't a bad idea.",positive,great reception desk team pretty clean place close station definitely recommend looking affordable hostel downtown wary area somewhat considered unsafe keeping eye around bad idea,"['great', 'reception', 'desk', 'team', 'pretty', 'clean', 'place', 'close', 'station', 'definitely', 'recommend', 'looking', 'affordable', 'hostel', 'downtown', 'wary', 'area', 'somewhat', 'considered', 'unsafe', 'keeping', 'eye', 'around', 'bad', 'idea']",<FreqDist with 25 samples and 25 outcomes>
959,5,Spacious and clean apartment. The host always kind and ready provide anything needed! Looking forward booking again!,positive,spacious clean apartment host always kind ready provide anything looking forward booking,"['spacious', 'clean', 'apartment', 'host', 'always', 'kind', 'ready', 'provide', 'anything', 'looking', 'forward', 'booking']",<FreqDist with 12 samples and 12 outcomes>
960,5,"Amazing place! A cosy apartment in great location! It had all the amenities needed and it was very clean. Also, the owner was very kind.",positive,amazing place cosy apartment great location clean also owner kind,"['amazing', 'place', 'cosy', 'apartment', 'great', 'location', 'clean', 'also', 'owner', 'kind']",<FreqDist with 10 samples and 10 outcomes>
964,2,"Hello we have booked a hotel in Athens, the one above send by lien.A our great surprise the owner has changed our apartment.
The latter ""imposed"" at the last minute, being better said, because very recent, happens to be a cellar transformed into an apartment.
Finishes are not realized.
Our biggest worry is the smell of stubborn cellar moisture.
Breathing problem, scratching eyes and throats.
We had booked the first apartment with the washing machine and TV, service not available in the replacement apartment.",negative,hello booked hotel one send great surprise owner apartment latter last minute better said recent cellar apartment not biggest worry smell stubborn cellar moisture breathing problem scratching booked first apartment washing machine service not available replacement apartment,"['hello', 'booked', 'hotel', 'one', 'send', 'great', 'surprise', 'owner', 'apartment', 'latter', 'last', 'minute', 'better', 'said', 'recent', 'cellar', 'apartment', 'not', 'biggest', 'worry', 'smell', 'stubborn', 'cellar', 'moisture', 'breathing', 'problem', 'scratching', 'booked', 'first', 'apartment', 'washing', 'machine', 'service', 'not', 'available', 'replacement', 'apartment']",<FreqDist with 31 samples and 37 outcomes>
965,2,"No view to the balcony,tiny w.c and shower(also smells nasty...),unfair deal (booking32€,we pay50,50€!!!),no water for welcoming.first time in my life,happened something like that...never again...",negative,view balcony tiny shower also nasty unfair deal water time life something like never,"['view', 'balcony', 'tiny', 'shower', 'also', 'nasty', 'unfair', 'deal', 'water', 'time', 'life', 'something', 'like', 'never']",<FreqDist with 14 samples and 14 outcomes>
967,5,"Our stay at Vaios Art Suite was a wonderful experience. The location is great with easy access to Kipseli, Victoria metro station and anything downtown Athens for that matter. Despite the central location the apartment itself is an oasis of quiet. The decoration is stylish with great attention to detail. The place is impeccably clean which we appreciated a lot. The beds are very comfortable and everything from furniture and appliances to kitchen utensils oozes quality. Vaios himself is a wonderful host and always reachable. Check-In and Check-Out were without problems.",positive,stay art suite wonderful experience location great easy access station anything downtown matter despite central location apartment oasis quiet decoration stylish great attention detail place impeccably clean lot comfortable everything furniture kitchen quality wonderful host always reachable without,"['stay', 'art', 'suite', 'wonderful', 'experience', 'location', 'great', 'easy', 'access', 'station', 'anything', 'downtown', 'matter', 'despite', 'central', 'location', 'apartment', 'oasis', 'quiet', 'decoration', 'stylish', 'great', 'attention', 'detail', 'place', 'impeccably', 'clean', 'lot', 'comfortable', 'everything', 'furniture', 'kitchen', 'quality', 'wonderful', 'host', 'always', 'reachable', 'without']",<FreqDist with 35 samples and 38 outcomes>
977,5,"The staff were very nice, even taught me simple words in greek. Really enjoyed my stay, efcharisto PAME Wild ;)",positive,staff nice even taught simple really stay wild,"['staff', 'nice', 'even', 'taught', 'simple', 'really', 'stay', 'wild']",<FreqDist with 8 samples and 8 outcomes>
